Product Description,Stage Name,Status,Wave,Completed by,Tiempo requerido days,Tiempo requerido hours
CHAROLA NESCAFÉ CLÁSICO 42gr,Validation - Validators,1,1,Especialista de la marca,3.034,72.83
CHAROLA NESCAFÉ CLÁSICO 6x400g,Validation - Validators,1,1,Especialista de la marca,0.089,2.13
CHAROLA NESCAFÉ CLASICO 8x300gr,Validation - Validators,1,2,Especialista de la marca,0.070,1.67
CORRUGADO NESCAFÉ CLÁSICO 14gr,Validation - Validators,1,1,Especialista de la marca,2.752,66.05
CORRUGADO NESCAFÉ CLÁSICO ALEBRIJE 85g,Validation - Validators,1,1,Especialista de la marca,0.092,2.21
ESTUCHE NESCAFE CLASICO STICK 16x14g,Validation - Validators,1,1,Especialista de la marca,1.073,25.75
ETIQUETA DOYPACK NESCAFÉ CLÁSICO 28g,Validation - Validators,1,1,Especialista de la marca,0.058,1.39
ETIQUETA NESCAFÉ CLÁSICO 120g,Validation - Validators,1,1,Especialista de la marca,0.160,3.83
ETIQUETA NESCAFÉ CLÁSICO 300g,Validation - Validators,1,1,Especialista de la marca,2.854,68.50
ETIQUETA NESCAFÉ CLÁSICO 350g,Validation - Validators,1,1,Especialista de la marca,3.507,84.16
ETIQUETA NESCAFÉ CLÁSICO 400g,Validation - Validators,1,1,Especialista de la marca,0.060,1.44
ETIQUETA NESCAFÉ CLÁSICO 60g,Validation - Validators,1,1,Especialista de la marca,3.499,83.99
ETIQUETA NESCAFE_CLÁSICO_170g,Validation - Validators,1,1,Especialista de la marca,3.215,77.17
ETIQUETA NESCAFE_CLÁSICO_225g,Validation - Validators,1,1,Especialista de la marca,3.154,75.71
ETIQUETAS NESCAFÉ CLÁSICO 200g,Validation - Validators,1,1,Especialista de la marca,1.984,47.63
ETIQUETAS NESCAFÉ CLÁSICO 42g,Validation - Validators,1,1,Especialista de la marca,3.038,72.90
FAJILLA 2X350g + 120g,Validation - Validators,1,1,Especialista de la marca,0.113,2.71
Fajilla Clásico 200g + Black 40g,Validation - Validators,1,1,Especialista de la marca,1.342,32.21
LAMINADO DOYPACK NESCAFÉ CLÁSICO 85g,Validation - Validators,1,1,Especialista de la marca,1.067,25.62
LAMINADO NESCAFÉ CLÁSICO STICK 14g_ 12 PISTAS,Validation - Validators,1,1,Especialista de la marca,0.107,2.57
CHAROLA 2X350g + 120g,Approval,1,AF,Especialista de la marca (AF),2.021,48.50
CHAROLA GENERICA 120gr_Clásico.Decaf,Approval,1,AF,Especialista de la marca (AF),1.905,45.73
CHAROLA GENERICA 15X170g,Approval,1,AF,Especialista de la marca (AF),3.813,91.50
"CHAROLA GENÉRICA_40,50,60G_Clásico.Black.Decaf",Approval,1,AF,Especialista de la marca (AF),0.531,12.75
CHAROLA NESCAFÉ CLÁSICO 350g,Approval,1,AF,Especialista de la marca (AF),3.027,72.64
CHAROLA NESCAFÉ CLÁSICO 42gr,Approval,1,AF,Especialista de la marca (AF),0.861,20.65
CHAROLA NESCAFÉ CLÁSICO 6x400g,Approval,1,AF,Especialista de la marca (AF),2.912,69.89
CHAROLA NESCAFÉ CLASICO 8x300gr,Approval,1,AF,Especialista de la marca (AF),1.733,41.59
CORRUGADO NESCAFÉ CLÁSICO 14gr,Approval,1,AF,Especialista de la marca (AF),6.170,148.09
CORRUGADO NESCAFÉ CLÁSICO 28gr,Approval,1,AF,Especialista de la marca (AF),1.090,26.16
ESTUCHE NESCAFE CLASICO STICK 16x14g,Approval,1,AF,Especialista de la marca (AF),1.736,41.67
ETIQUETA DOYPACK NESCAFÉ CLÁSICO 28g,Approval,1,AF,Especialista de la marca (AF),1.022,24.54
ETIQUETA NESCAFÉ CLÁSICO 120g,Approval,1,AF,Especialista de la marca (AF),0.055,1.32
ETIQUETA NESCAFÉ CLÁSICO 300g,Approval,1,AF,Especialista de la marca (AF),0.792,19.00
ETIQUETA NESCAFÉ CLÁSICO 350g,Approval,1,AF,Especialista de la marca (AF),0.791,18.98
ETIQUETA NESCAFÉ CLÁSICO 400g,Approval,1,AF,Especialista de la marca (AF),0.744,17.86
ETIQUETA NESCAFÉ CLÁSICO 60g,Approval,1,AF,Especialista de la marca (AF),0.796,19.10
ETIQUETA NESCAFE_CLÁSICO_225g,Approval,1,AF,Especialista de la marca (AF),0.024,0.58
ETIQUETAS NESCAFÉ CLÁSICO 200g,Approval,1,AF,Especialista de la marca (AF),0.028,0.68
ETIQUETAS NESCAFÉ CLÁSICO 42g,Approval,1,AF,Especialista de la marca (AF),0.084,2.01
ETIQUETAS NESCAFÉ CLÁSICO 42g (Versión 2),Approval,1,AF,Especialista de la marca (AF),1.441,34.57
FAJILLA 2X350g,Approval,1,AF,Especialista de la marca (AF),1.935,46.44
FAJILLA 2X350g + 120g,Approval,1,AF,Especialista de la marca (AF),0.736,17.66
LAMINADO NESCAFÉ CLÁSICO STICK 14g_ 12 PISTAS,Approval,1,AF,Especialista de la marca (AF),4.952,118.85
LAMINADO NESCAFÉ CLÁSICO STICK 14g_ 8P,Approval,1,AF,Especialista de la marca (AF),0.998,23.95
